מרכיב,ציון חשיבות ממוצע
 9. עד כמה את/ה מרגיש/ה חלק מקהילה במקום מגוריך?  ,3.269230769230769
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [פארק משותף],2.3461538461538463
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [חוגים],2.3461538461538463
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [כיתת כוננות],2.230769230769231
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [התנדבות],2.230769230769231
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [טקסים],2.230769230769231
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [קבוצות חברתיות / פורום חברתי  ברשת],2.230769230769231
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [קבוצות whatsApp],2.1923076923076925
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [בתי ספר],2.1923076923076925
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [ועד שכונתי],2.1538461538461537
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [שכנות  משותפת],2.1538461538461537
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [גני ילדים משותפים],2.1153846153846154
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [משמר אזרחי],2.076923076923077
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [מועדוניות],2.0384615384615383
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [בתי כנסת],2.0
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [לאום משותף],1.8846153846153846
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [מרכזי בריאות],1.8461538461538463
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [תחבורה ציבורית],1.8461538461538463
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [גיל משותף],1.8076923076923077
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [מסורת דתית],1.7692307692307692
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [מוצא משותף],1.7692307692307692
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [מרכזי קניות],1.6923076923076923
 8. אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה בעיניך ?  ניתן לסמן יותר מתשובה אחת. [פעילות ספורטיבית ],1.5769230769230769
  אילו מהמרכיבים הבאים בעיניך חיוניים לקיום קהילה?  ניתן לסמן יותר מתשובה אחת. [גדש],
