stat_area,city_name,lat,lon
111,באר שבע,31.272243,34.793957
112,באר שבע,31.272439,34.784789
113,באר שבע,31.269007,34.789015
121,באר שבע,31.267126,34.793482
122,באר שבע,31.270197,34.79893
123,באר שבע,31.266082,34.800745
131,באר שבע,31.262411,34.796231
132,באר שבע,31.262061,34.791706
133,באר שבע,31.26008,34.791301
211,באר שבע,31.261532,34.784425
212,באר שבע,31.265365,34.783812
213,באר שבע,31.268705,34.779074
214,באר שבע,31.266092,34.772894
215,באר שבע,31.263275,34.775218
216,באר שבע,31.260558,34.777448
221,באר שבע,31.258165,34.77256
222,באר שבע,31.254935,34.769252
223,באר שבע,31.255599,34.762767
224,באר שבע,31.25812,34.763837
225,באר שבע,31.259957,34.768387
226,באר שבע,31.263183,34.767081
311,באר שבע,31.272622,34.777017
312,באר שבע,31.270442,34.76897
313,באר שבע,31.268498,34.76385
314,באר שבע,31.292794,34.769199
321,באר שבע,31.265975,34.761072
322,באר שבע,31.262529,34.757328
323,באר שבע,31.270507,34.75309
411,באר שבע,31.252332,34.781531
412,באר שבע,31.255944,34.776682
413,באר שבע,31.253102,34.774431
414,באר שבע,31.248958,34.779076
421,באר שבע,31.251552,34.762861
422,באר שבע,31.246439,34.77116
423,באר שבע,31.245398,34.777203
424,באר שבע,31.245607,34.762023
511,באר שבע,31.256463,34.7835
512,באר שבע,31.255701,34.790535
513,באר שבע,31.254317,34.795645
521,באר שבע,31.249487,34.794318
522,באר שבע,31.246258,34.792077
523,באר שבע,31.248998,34.786934
611,באר שבע,31.243191,34.785542
612,באר שבע,31.237709,34.78406
613,באר שבע,31.231048,34.786063
614,באר שבע,31.223641,34.775147
615,באר שבע,31.225323,34.786348
621,באר שבע,31.220628,34.813153
622,באר שבע,31.230286,34.82181
623,באר שבע,31.235497,34.829939
624,באר שבע,31.242545,34.796185
625,באר שבע,31.246898,34.812487
626,באר שבע,31.232215,34.798496
631,באר שבע,31.249352,34.805745
632,באר שבע,31.2542,34.807935
633,באר שבע,31.258003,34.807145
634,באר שבע,31.261976,34.802053
711,באר שבע,31.23944,34.777182
712,באר שבע,31.237013,34.779169
713,באר שבע,31.236255,34.774059
714,באר שבע,31.239022,34.770248
715,באר שבע,31.240853,34.774516
721,באר שבע,31.239226,34.763339
722,באר שבע,31.235486,34.763818
723,באר שבע,31.233353,34.769663
724,באר שבע,31.228353,34.766244
725,באר שבע,31.258247,34.754267
726,באר שבע,31.243766,34.746763
727,באר שבע,31.210137,34.773174
811,באר שבע,31.272761,34.803295
812,באר שבע,31.269314,34.809005
813,באר שבע,31.258619,34.821826
814,באר שבע,31.266109,34.823288
815,באר שבע,31.274544,34.820367
816,באר שבע,31.275228,34.810549
817,באר שבע,31.279801,34.813908
821,באר שבע,31.285974,34.807264
822,באר שבע,31.281206,34.805288
823,באר שבע,31.279799,34.799069
824,באר שבע,31.285719,34.800145
825,באר שבע,31.282441,34.794162
826,באר שבע,31.29557,34.807379
827,באר שבע,31.307242,34.826565
